"cluster","term","pval","direction","nseqs","season","division"
10,"gated channel activity",3.82091176150046e-06,"down",12,"winter","MF"
4,"dynein light intermediate chain binding",5.51551095624479e-06,"down",7,"winter","MF"
2,"RNA binding",6.24424538760489e-06,"up",27,"winter","MF"
6,"oxidoreduction-driven active transmembrane transporter activity",1.07081328899816e-05,"up",1,"winter","MF"
3,"ATPase regulator activity",0.000148096737236434,"up",4,"winter","MF"
9,"signaling receptor binding",0.00186497399877861,"down",43,"winter","MF"
7,"guanylate cyclase activity",0.00240145448703458,"down",0,"winter","MF"
1,"single-stranded DNA binding",0.00508337969679988,"up",2,"winter","MF"
12,"phospholipid binding",0.0184470775891458,"down",7,"winter","MF"
11,"neurotransmitter:sodium symporter activity",0.0396202213700116,"down",1,"winter","MF"
5,"antigen binding",0.0450104605392693,"down",0,"winter","MF"
14,"acetyltransferase activity",0.0471374477666191,"up",1,"winter","MF"
8,"hydrolase activity, acting on glycosyl bonds",0.0659790886769104,"down",6,"winter","MF"
15,"chloride ion binding",0.0753007657111796,"down",1,"winter","MF"
16,"beta-1,3-galactosyltransferase activity",0.0883330053648355,"down",1,"winter","MF"
